Gender,Annual Income,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Dealer_Region,Cluster,PCA1,PCA2
Male,13500,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,26000,06457-3834,SUV,Middletown,1,-0.6671985174575925,-0.06056128071499811
Male,1480000,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000,60504-7114,SUV,Aurora,1,-0.6741279575508998,0.43169366569988865
Male,1035000,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,31500,38701-8047,Passenger,Greenville,0,0.7510928822518383,0.18851581426704178
Male,13500,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14000,99301-3882,SUV,Pasco,0,0.7304007645109729,-0.058814198657027306
Male,1465000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Red,24500,53546-9427,Hatchback,Janesville,1,-0.6295799058605084,0.41593187607072946
Male,850000,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,12000,85257-3102,Hatchback,Scottsdale,0,0.7437790527523476,0.19467493418506554
Male,1600000,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,14000,78758-7841,Passenger,Austin,0,0.7303746624755658,0.4367740088042573
Male,13500,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,78758-7841,Passenger,Austin,1,-0.6668475621774829,-0.06230608771646062
Female,13500,Ford,Escort,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,85257-3102,Passenger,Scottsdale,2,-0.6651987392994726,-0.9554973531393315
Male,13500,Acura,RL,Overhead Camshaft,Manual,Pale White,31000,78758-7841,SUV,Austin,0,0.7686960913999403,-0.06991356695417084
Male,13500,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,78758-7841,Hardtop,Pasco,1,-0.6499726846702859,-0.05656572344221589
Male,885000,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9000,60504-7114,SUV,Aurora,1,-0.6679770999111996,0.19757166143534888
Male,13500,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,38701-8047,Hatchback,Greenville,1,-0.6714950438498378,-0.06855608863976481
Male,722000,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,06457-3834,Sedan,Middletown,0,0.7672125239741452,0.17103152352726014
Male,746000,Subaru,Forester,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Hatchback,Aurora,0,0.7435102658984267,0.17995797645839828
Female,535000,Hyundai,Accent,Overhead Camshaft,Manual,Black,18000,38701-8047,Hatchback,Greenville,0,0.7269193712362154,-0.7279906919146473
Female,570000,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,99301-3882,Passenger,Pasco,2,-0.6693650285334238,-0.7225284274401955
